,SMILES,NMR Acceptor Number (AN),Water Exchange Rate (WERC),pK$_h$,Electrostatic Acceptor Number (E$_a$),Covalent Acceptor Number (C$_a$),Infrared Xanthone Complexes (IrX),Infrared TPPO Complexes (IrTPPO),Infrared EthylAcetate Complexes (IrAcOEt),Oxidation Peak (Ox),Complexing Power (CP)
56,[Cl-].[Cl-].[Hg+2],60.8,,,,,52.0,,,,
57,[Cl-].[Cl-].[Hg+][Hg+],24.8,,,,,,,,,
58,[Cl-].[Cl-].[Mg+2],,,,,,,-26.0,,,
59,[Cl-].[Cl-].[O-2].[Zr+4],93.5,,,,,,,,,
60,[Cl-].[Cl-].[Sn+2],76.3,,,,,,,,,
61,[Cl-].[Cl-].[Zn+2],,,,,,57.0,-39.0,,,
62,[Cl-].[Cu+],75.7,,,,,,,,,
63,[Co+2],66.4,0.2,9.65,,,,,,,2.16
64,[Cr+3],75.4,58.0,4.0,,,,,,,
65,[Cs+],26.48,,,,,,,,,15.0
66,[Cu+2],71.0,200.0,7.53,,,,,,,2.44
67,[Dy+3],,63.0,8.0,,,,,,,
68,[Er+3],,140.0,7.9,,,,,,,
69,[Eu+3],,650.0,7.8,,,,,,,
70,[F-].[F-].[F-].[F-].[F-].[Sb+5],,,,,,243.0,,,,
71,[Fe+2],69.0,3.2,9.5,,,,,,,1.6
72,[Fe+3],79.15,,,,,,,,,4.1
73,[Ga+3],,0.0007599999999999,2.6,,,,,,,2.42
74,[Gd+3],,63.0,8.0,,,,,,,
75,[H+],,,,,,,,,,1.1
76,[Hf+4],,,0.25,,,,,,,
77,[Hg+2],,2000.0,3.4,,,,-36.0,,,
78,[Ho+3],,61.0,8.0,,,,,,,
79,[In+3],,0.04,4.0,,,,,,,2.32
80,[K+],33875.0,150.0,14.46,,,,,,-0.05,0.05
81,[La+3],54.5,210.0,8.5,,,,,,,
82,[Li+],42.46,47.0,13.64,,,,,,0.09,0.4
83,[Lu+3],,60.0,7.6,,,,,,,
84,[Mg+2],54.3,0.53,11.44,,,,,,0.27,1.15
85,[Mn+2],62.4,31.0,10.59,,,,,,,2.25
86,[NH4+],24.2,,,,,,,,,
87,[Na+],35.36,190.0,14.18,,,,,,0.0299999999999999,0.19
88,[Nb+5],,,0.6,,,,,,,
89,[Nd+3],,390.0,8.0,,,,,,0.39,
90,[Ni+2],57.1,27.0,9.86,,,,,,,1.7
91,[Pb+2],72.1,7500.0,7.71,,,,,,,
92,[Pd+2],,,2.3,,,,,,,
93,[Pr+3],60.5,310.0,8.1,,,,,,0.31,
94,[Pt+2],,,4.8,,,,,,,
95,[Rb+],27.63,,,,,,,,,25.0
96,[Rh+3],,300.0,3.4,,,,,,,
97,[Sc+3],,48.0,4.3,,,,,,,
98,[Sm+3],,590.0,7.9,,,,,,0.4,
99,[Sn+4],,,,,,,-43.0,,,
100,[Sr+2],34.6,,,,,,,,,0.53
101,[Ta+5],,,-1.0,,,,,,,
102,[Tb+3],,78.0,7.9,,,,,,,
103,[Ti+4],,,2.3,,,,,112.0,,
104,[Tl+3],,0.7,0.62,,,,,,,
105,[Tm+3],,6.4,7.7,,,,,,,
106,[V+3],,1.0,2.26,,,,,,,
107,[Y+3],,13.0,7.7,,,,,,,
108,[Yb+3],,80.0,7.7,,,,,,,
109,[Zn+2],79.8,500.0,8.96,,,,,,0.32,1.5
110,[Zr+4],,,0.22,,,,,,,
111,O,,,,1.64,571.0,,,,,
112,B,93.0,,,,,,,,,
113,FB(F)F,84.0,,,9.88,1.62,138.0,,119.0,,
114,ClB(Cl)Cl,95.9,,,,,229.0,,176.0,,
115,BrB(Br)Br,109.3,,,,,253.0,-103.0,191.0,,
116,IB(I)I,114.9,,,,,263.0,,,,
117,c1ccc(B(c2ccccc2)c2ccccc2)cc1,55.0,,,,,,,,,
118,Fc1c(F)c(F)c(OB(Oc2c(F)c(F)c(F)c(F)c2F)Oc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,88.2,,,,,,,,,
119,COB(OC)OC,23.1,,,,,,,,,
120,CCOB(OCC)OCC,17.1,,,,,,,,,
121,CB(C)C,,,,6.14,1.7,,,,,
122,Fc1ccc(B(c2ccc(F)cc2)c2ccc(F)cc2)cc1,62.51,,,,,,,,,
123,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,78.1,,,,,,,,,
124,Fc1cccc(F)c1B(c1c(F)cccc1F)c1c(F)cccc1F,69.8,,,,,,,,,
125,Fc1cc(F)c(F)c(B(c2c(F)c(F)cc(F)c2F)c2c(F)c(F)cc(F)c2F)c1F,80.2,,,,,,,,,
126,FC(F)(F)c1cc(B(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,83.8,,,,,,,,,
127,FP(F)(F)(F)F,,,,,,166.0,,,,
128,O=S=O,,,,920.0,808.0,,,,,
129,CCCOB(OCCC)OCCC,20.3,,,,,,,,,
130,CCCCOB(OCCCC)OCCCC,11.8,,,,,,,,,
131,CC(C)OB(OC(C)C)OC(C)C,21.6,,,,,,,,,
132,ClCCOB(OCCCl)OCCCl,31.2,,,,,,,,,
133,ClCCCOB(OCCCCl)OCCCCl,33.9,,,,,,,,,
134,ClCCCCOB(OCCCCCl)OCCCCCl,28.2,,,,,,,,,
135,ClC(Cl)COB(OCC(Cl)Cl)OCC(Cl)Cl,59.3,,,,,,,,,
