;SMILES;FIA;FIA (COSMO);AN;WERC;pKh;Ea;Ca;Yield;Excess_AvsB;Cook1963;Frazer1962;Lappert;50microA_CH2Cl2;50microA_DMF;Delta_Epa_Maity;Delta_E1/2_DPV_Maity;Complexing_power;Potentiel_pic_3eq;Potentiel_pic_1eq;Equivalents;In Silico Beckett-Childs
219;[NH4+];;;24.2;;;;;;;;;;;;;;;;;;
220;[Na+];650.0;;35.36;190.0;14.18;;;;;;;;;-1.53;0.0299999999999999;5.0;0.19;;;;
221;[Nb+5];;;;;0.6;;;;;;;;;;;;;;;;
222;[Nd+3];;;;390.0;8.0;;;;;;;;;-1.5;0.39;284.0;;-1.4;-1.28;1;148
223;[Ni+2];;;57.1;27.0;9.86;;;;;;;;;;;;1.7;;;;
224;[O+]#C[B-](C(F)(F)F)(C(F)(F)F)C(F)(F)F;404.0;;;;;;;;;;;;;;;;;;;;
225;[PH2+];1100.0;;;;;;;;;;;;;;;;;;;;
226;[Pb+2];;;72.1;7500.0;7.71;;;;;;;;;;;;;;;;
227;[Pd+2];;;;;2.3;;;;;;;;;;;;;;;;
228;[Pr+3];;;60.5;310.0;8.1;;;;;;;;;;0.31;284.0;;;;;
229;[Pt+2];;;;;4.8;;;;;;;;;;;;;;;;
230;[Rb+];;;27.63;;;;;;;;;;;;;;25;;;;
231;[Rh+3];;;;300.0;3.4;;;;;;;;;;;;;;;;
232;[Sb+3];531.5;;;;;;;;;;;;;;;;;;;;
233;[Sb+5];625.0;;;;;;;;;;;;;;;;;;;;
234;[Sc+3];;;;48.0;4.3;;;;;;;;-1.28;-1.43;;;;;;;
235;[Sm+3];;;;590.0;7.9;;;;;;;;;;0.4;291.0;;;;;
236;[Sn+4];469.0;;;;;;;;;;-43.0;;;;;;;;;;
237;[Sr+2];;;34.6;;;;;;;;;;;;;;0.53;;;;
238;[Ta+3];550.0;;;;;;;;;;;;;;;;;;;;
239;[Ta+5];;;;;-1.0;;;;;;;;;;;;;;;;
240;[Tb+3];;;;78.0;7.9;;;;;;;;;;;;;;;;
241;[Ti+4];;;;;2.3;;;;;;;112.0;;;;;;;;;
242;[Tl+3];;;;0.7;0.62;;;;;;;;;;;;;;;;
243;[Tm+3];;;;6.4;7.7;;;;;;;;;;;;;;;;
244;[V+3];;;;1.0;2.26;;;;;;;;;;;;;;;;
245;[Y+3];;;;13.0;7.7;;;;;;;;;;;;;;;;
246;[Yb+3];;;;80.0;7.7;;;;;;;;;;;;;;;;
247;[Zn+2];;;79.8;500.0;8.96;;;;;;;;;;0.32;170.0;1.5;;;;
248;[Zr+4];;;;;0.22;;;;;;;;;;;;;;;;
249;[b+]1oc2ccccc2o1;1210.0;983.0;;;;;;;;;;;;;;;;;;;
250;c1ccc([C+](c2ccccc2)c2ccccc2)cc1;671.0;171.0;;;;;;;;;;;;;;;;;;;
251;c1ccc([P+]c2ccccc2)cc1;828.0;479.0;;;;;;;;;;;;;;;;;;;
252;c1ccc([Sb+2](c2ccccc2)c2ccccc2)cc1;192.0;;;;;;;;;;;;;;;;;;;;
253;CO;124.0;;;;;;;;;;;;;;;;;;;;
254;O;97.0;;;;;1.64;571.0;;;;;;;;;;;;;;
255;Cl;251.0;;;;;;;;;;;;;;;;;;;;
256;F;191.0;;;;;;;;;;;;;;;;;;;;
257;B;278.0;164.0;93.0;;;;;;;;;;;;;;;;;;
258;FB(F)F;297.0;225.0;84.0;;;9.88;1.62;;;138.0;;119.0;;;;;;-1.36;-1.25;3;
259;ClB(Cl)Cl;405.0;279.0;95.9;;;;;67.0;86.0;229.0;;176.0;;;;;;;;;
260;BrB(Br)Br;433.0;307.0;109.3;;;;;;;253.0;-103.0;191.0;;;;;;;;;
261;IB(I)I;444.0;275.0;114.9;;;;;;;263.0;;;;;;;;;;;
262;c1ccc(B(c2ccccc2)c2ccccc2)cc1;342.0;128.0;55.0;;;;;;;;;;;;;;;;;;
263;Cc1cc(C)c(B(c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1;254.0;;;;;;;;;;;;;;;;;;;;
264;NB(N)N;117.0;;;;;;;;;;;;;;;;;;;;
265;OB(O)O;186.0;;;;;;;;;;;;;;;;;;;;
266;FC(F)(F)OB(OC(F)(F)F)OC(F)(F)F;384.0;;;;;;;;;;;;;;;;;;;;
267;O=S(=O)(OB(OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F)C(F)(F)F;530.0;;;;;;;;;;;;;;;;;;;;
268;Fc1c(F)c(F)c(OB(Oc2c(F)c(F)c(F)c(F)c2F)Oc2c(F)c(F)c(F)c(F)c2F)c(F)c1F;402.0;366.0;88.2;;;;;;;;;;;;;;;;;;
269;FC(F)(F)C(OB(OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F;420.0;;;;;;;;;;;;;;;;;;;;
270;O=P(F)(F)OB(OP(=O)(F)F)OP(=O)(F)F;469.0;;;;;;;;;;;;;;;;;;;;
271;SB(S)S;306.0;;;;;;;;;;;;;;;;;;;;
272;F[Te](F)(F)(F)(F)OB(O[Te](F)(F)(F)(F)F)O[Te](F)(F)(F)(F)F;552.0;;;;;;;;;;;;;;;;;;;;
273;COB(F)F;259.0;;;;;;;;;;;;;;;;;;;;
274;COB(F)OC;217.0;;;;;;;;;;;;;;;;;;;;
275;COB(OC)OC;176.0;;23.1;;;;;;;;;;;;;;;;;;
276;CCOB(OCC)OCC;184.0;;17.1;;;;;;;;;;;;;;;;;;
277;CB(C)C;197.0;;;;;6.14;1.7;;;;;;;;;;;;;;
278;CB(C)F;258.0;;;;;;;;;;;;;;;;;;;;
279;CCB(C)CC;259.0;;;;;;;;;;;;;;;;;;;;
280;CCB(F)CC;242.0;;;;;;;;;;;;;;;;;;;;
281;CC(C)B(C(C)C)C(C)C;272.0;;;;;;;;;;;;;;;;;;;;
282;CC(C)B(F)C(C)C;278.0;;;;;;;;;;;;;;;;;;;;
283;Fc1ccc(B(c2ccc(F)cc2)c2ccc(F)cc2)cc1;366.0;;62.51;;;;;;;;;;;;;;;;;;
284;Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;454.0;373.0;78.1;;;;;;;;;;;;;;;;;;
285;Fc1cccc(F)c1B(c1c(F)cccc1F)c1c(F)cccc1F;362.0;;69.8;;;;;;;;;;;;;;;;;;
286;Fc1cc(F)c(B(c2c(F)cc(F)cc2F)c2c(F)cc(F)cc2F)c(F)c1;388.0;;;;;;;;;;;;;;;;;;;;
287;Fc1cc(F)c(F)c(B(c2c(F)c(F)cc(F)c2F)c2c(F)c(F)cc(F)c2F)c1F;432.0;;80.2;;;;;;;;;;;;;;;;;;
288;Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl;366.0;;;;;;;;;;;;;;;;;;;;
289;FC(F)(F)B(C(F)(F)F)C(F)(F)F;556.0;;;;;;;;;;;;;;;;;;;;
290;Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;523.0;;;;;;;;;;;;;;;;;;;;
291;Fc1c(F)c(F)c(-c2c(F)c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c3-c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3-c3c(F)c(F)c(F)c(F)c3F)c2F)c(F)c1F;447.0;;;;;;;;;;;;;;;;;;;;
292;Fc1c(F)c(F)c2c(B(c3c(F)c(F)c(F)c4c(F)c(F)c(F)c(F)c34)c3c(F)c(F)c(F)c4c(F)c(F)c(F)c(F)c34)c(F)c(F)c(F)c2c1F;469.0;;;;;;;;;;;;;;;;;;;;
293;FC(F)(F)c1cc(B(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1;471.0;;83.8;;;;;;;;;;;;;;;;;;
294;Fc1c(F)c(F)c(B2c3c(F)c(F)c(F)c(F)c3B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c32)c(F)c1F;477.0;;;;;;;;;;;;;;;;;;;;
295;FC(F)(F)c1ccc(B(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1;499.0;;;;;;;;;;;;;;;;;;;;
296;N#CB(C#N)C#N;551.0;;;;;;;;;;;;;;;;;;;;
297;Fc1c(F)c(F)c(B2C(c3c(F)c(F)c(F)c(F)c3F)=C(c3c(F)c(F)c(F)c(F)c3F)C(c3c(F)c(F)c(F)c(F)c3F)=C2c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;512.0;;;;;;;;;;;;;;;;;;;;
298;CC[Al](CC)CC;386.0;;;;;;;;;;;;;;;;;;;;
299;c1ccc([Al](c2ccccc2)c2ccccc2)cc1;443.0;;;;;;;;;;;;;;;;;;;;
300;Fc1ccc([Al](c2ccc(F)cc2)c2ccc(F)cc2)cc1;467.0;;;;;;;;;;;;;;;;;;;;
301;Fc1c(F)c(F)c([Al](c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;530.0;;;;;;;;;;;;;;;;;;;;
302;Fc1c(F)c(F)c([Ga](c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;447.0;;;;;;;;;;;;;;;;;;;;
303;Fc1ccc([Ga](c2ccc(F)cc2)c2ccc(F)cc2)cc1;379.0;;;;;;;;;;;;;;;;;;;;
304;O=C(C(F)(F)F)C(F)(F)F;208.0;;;;;;;;;;;;;;;;;;;;
305;O=C(F)C(F)(F)C(F)(F)F;197.0;;;;;;;;;;;;;;;;;;;;
306;O=C(F)C(F)(F)F;191.0;;;;;;;;;;;;;;;;;;;;
307;O=C(F)C(=O)F;191.0;;;;;;;;;;;;;;;;;;;;
308;O=C(F)F;178.0;;;;;;;;;;;;;;;;;;;;
309;O=C=S;133.0;;;;;;;;;;;;;;;;;;;;
310;O=C=O;133.0;;;;;;;;;;;;;;;;;;;;
311;S=C=S;131.0;;;;;;;;;;;;;;;;;;;;
312;F[Si](F)(F)F;284.0;;;;;;;;;;;;;;;;;;;;
313;C[Si](F)(F)F;257.0;;;;;;;;;;;;;;;;;;;;
314;C[Si](C)(F)F;232.0;;;;;;;;;;;;;;;;;;;;
315;C[Si](C)(C)F;160.0;;;;;;;;;;;;;;;;;;;;
316;C[Si](C)(C)C;125.0;;;;;;;;;;;;;;;;;;;;
317;[SiH4];134.0;;;;;;;;;;;;;;;;;;;;
318;C[SiH2]C;199.0;;;;;;;;;;;;;;;;;;;;
319;C1C[SiH2]1;270.0;;;;;;;;;;;;;;;;;;;;
320;C1C[SiH2]C1;212.0;;;;;;;;;;;;;;;;;;;;
321;C1CC[SiH2]C1;188.0;;;;;;;;;;;;;;;;;;;;
322;O=[Si](F)F;439.0;;;;;;;;;;;;;;;;;;;;
323;FC(F)(F)C(F)(F)[Si](F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F;443.0;;;;;;;;;;;;;;;;;;;;
324;Fc1c(F)c(F)c([Si](F)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;361.0;;;;;;;;;;;;;;;;;;;;
325;Fc1c(F)c(F)c2c(c1F)O[Si]1(O2)Oc2c(F)c(F)c(F)c(F)c2O1;490.0;;;;;;;;;;;;;;;;;;;;
326;Clc1c(Cl)c(Cl)c2c(c1Cl)O[Si]1(O2)Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2O1;507.0;;;;;;;;;;;;;;;;;;;;
327;C[Si](C)(C)Cl;235.0;218.0;;;;;;;;;;;;;;;;;;;
328;C[Si](C)(C)I;331.0;304.0;;;;;;;;;;;;;;;;;;;
329;C[Si](C)(C)C(S(=O)(=O)C(F)(F)F)(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F;454.0;356.0;;;;;;;;;;;;;;;;;;;
330;C[Si](C)(C)C(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F;443.0;338.0;;;;;;;;;;;;;;;;;;;
331;O=NF;73.0;;;;;;;;;;;;;;;;;;;;
332;FP(F)F;168.0;;;;;;;;;;;;;;;;;;;;
333;O=P(F)(F)F;245.0;;;;;;;;;;;;;;;;;;;;
334;FP(F)(F)(F)F;355.0;;;;;;;;;166.0;;;;;;;;;;;
335;ClP(Cl)(Cl)(Cl)Cl;392.0;;;;;;;;;;;;;;;;;;;;
336;FC(F)(F)C(F)(F)P(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F;388.0;;;;;;;;;;;;;;;;;;;;
337;O=P(=O)F;376.0;;;;;;;;;;;;;;;;;;;;
338;F[As](F)F;201.0;;;;;;;;;;;;;;;;;;;;
339;F[As](F)(F)(F)F;464.0;;;;;;;;;;;;;;;;;;;;
340;F[As](F)(F)(F)F.O=S=O;390.0;;;;;;;;;;;;;;;;;;;;
341;F[Te](F)(F)(F)(F)O[As](O[Te](F)(F)(F)(F)F)(O[Te](F)(F)(F)(F)F)(O[Te](F)(F)(F)(F)F)O[Te](F)(F)(F)(F)F;559.0;;;;;;;;;;;;;;;;;;;;
342;O=S=O;183.0;;;;;920.0;808.0;;;;;;;;;;;;;;
343;O=S(=O)=O;326.0;;;;;;;;;;;;;;;;;;;;
344;O=S(F)F;156.0;;;;;;;;;;;;;;;;;;;;
345;O=S(=O)(F)F;150.0;;;;;;;;;;;;;;;;;;;;
346;O=S(F)(F)(F)F;242.0;;;;;;;;;;;;;;;;;;;;
347;FS(F)(F)F;183.0;;;;;;;;;;;;;;;;;;;;
348;F[SH](F)(F)(F)F;51.0;;;;;;;;;;;;;;;;;;;;
349;F[Te](F)(F)F;349.0;;;;;;;;;;;;;;;;;;;;
350;O=[Te](F)(F)(F)F;451.0;;;;;;;;;;;;;;;;;;;;
351;F[Te](F)(F)(F)(F)F;257.0;;;;;;;;;;;;;;;;;;;;
352;F[Se](F)(F)F;298.0;;;;;;;;;;;;;;;;;;;;
353;O=[Se](F)(F)(F)F;364.0;;;;;;;;;;;;;;;;;;;;
354;Fc1c(F)c(F)c([Zn]c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;359.0;;;;;;;;;;;;;;;;;;;;
355;C[Au](C)C;298.0;;;;;;;;;;;;;;;;;;;;
356;FC(F)(F)[Au](C(F)(F)F)C(F)(F)F;433.0;;;;;;;;;;;;;;;;;;;;
357;CCCOB(OCCC)OCCC;;;20.3;;;;;;;;;;;;;;;;;;
358;CCCCOB(OCCCC)OCCCC;;;11.8;;;;;;;;;;;;;;;;;;
359;CC(C)OB(OC(C)C)OC(C)C;;;21.6;;;;;;;;;;;;;;;;;;
360;ClCCOB(OCCCl)OCCCl;;;31.2;;;;;;;;;;;;;;;;;;
361;ClCCCOB(OCCCCl)OCCCCl;;;33.9;;;;;;;;;;;;;;;;;;
362;ClCCCCOB(OCCCCCl)OCCCCCl;;;28.2;;;;;;;;;;;;;;;;;;
363;ClC(Cl)COB(OCC(Cl)Cl)OCC(Cl)Cl;;;59.3;;;;;;;;;;;;;;;;;;
364;ClC(Cl)(Cl)COB(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl;;;71.2;;;;;;;;;;;;;;;;;;
365;ClCC(CCl)OB(OC(CCl)CCl)OC(CCl)CCl;;;42.7;;;;;;;;;;;;;;;;;;
366;BrCCOB(OCCBr)OCCBr;;;38.1;;;;;;;;;;;;;;;;;;
367;ICCOB(OCCI)OCCI;;;45.6;;;;;;;;;;;;;;;;;;
368;CC(F)(F)COB(OCC(F)(F)F)OCC(F)(F)F;;;66.4;;;;;;;;;;;;;;;;;;
369;CC[Si](CC)(CC)OB(O[Si](CC)(CC)CC)O[Si](CC)(CC)CC;;;34.0;;;;;;;;;;;;;;;;;;
370;CCC[Si](CCC)(CCC)OB(O[Si](CCC)(CCC)CCC)O[Si](CCC)(CCC)CCC;;;28.0;;;;;;;;;;;;;;;;;;
371;CCCC[Si](CCCC)(CCCC)OB(O[Si](CCCC)(CCCC)CCCC)O[Si](CCCC)(CCCC)CCCC;;;23.0;;;;;;;;;;;;;;;;;;
372;CCCC[Si](C)(C)OB(O[Si](C)(C)CCCC)O[Si](C)(C)CCCC;;;36.0;;;;;;;;;;;;;;;;;;
373;C[Si](C)(OB(O[Si](C)(C)c1ccccc1)O[Si](C)(C)c1ccccc1)c1ccccc1;;;29.0;;;;;;;;;;;;;;;;;;
374;CCCC[Sn](CCCC)(CCCC)OB(O[Sn](CCCC)(CCCC)CCCC)O[Sn](CCCC)(CCCC)CCCC;;;25.0;;;;;;;;;;;;;;;;;;
375;CB1OB(C)OB(C)O1;;;51.5;;;;;;;;;;;;;;;;;;
376;c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1;;;49.1;;;;;;;;;;;;;;;;;;
377;Brc1ccc(B2OB(c3ccc(Br)cc3)OB(c3ccc(Br)cc3)O2)cc1;;;50.4;;;;;;;;;;;;;;;;;;
378;Fc1c(F)c(F)c(B2OB(c3c(F)c(F)c(F)c(F)c3F)OB(c3c(F)c(F)c(F)c(F)c3F)O2)c(F)c1F;;;86.2;;;;;;;;;;;;;;;;;;
379;COB1OB(OC)OB(OC)O1;;;78.5;;;;;;;;;;;;;;;;;;
380;CCOB1OB(OCC)OB(OCC)O1;;;80.1;;;;;;;;;;;;;;;;;;
381;CCCOB1OB(OCCC)OB(OCCC)O1;;;79.1;;;;;;;;;;;;;;;;;;
382;CC(C)OB1OB(OC(C)C)OB(OC(C)C)O1;;;73.5;;;;;;;;;;;;;;;;;;
383;CCCCOB1OB(OCCCC)OB(OCCCC)O1;;;77.9;;;;;;;;;;;;;;;;;;
384;ClCCOB1OB(OCCCl)OB(OCCCl)O1;;;79.4;;;;;;;;;;;;;;;;;;
385;ClCCCOB1OB(OCCCCl)OB(OCCCCl)O1;;;77.9;;;;;;;;;;;;;;;;;;
386;ClCCCCOB1OB(OCCCCCl)OB(OCCCCCl)O1;;;77.4;;;;;;;;;;;;;;;;;;
387;ClC(Cl)COB1OB(OCC(Cl)Cl)OB(OCC(Cl)Cl)O1;;;80.5;;;;;;;;;;;;;;;;;;
388;ClC(Cl)(Cl)COB1OB(OCC(Cl)(Cl)Cl)OB(OCC(Cl)(Cl)Cl)O1;;;79.4;;;;;;;;;;;;;;;;;;
389;ClCC(CCl)OB1OB(OC(CCl)CCl)OB(OC(CCl)CCl)O1;;;79.4;;;;;;;;;;;;;;;;;;
390;FC(F)(F)COB1OB(OCC(F)(F)F)OB(OCC(F)(F)F)O1;;;86.1;;;;;;;;;;;;;;;;;;
391;CC[Si](C)(C)OB1OB(O[Si](C)(C)CC)OB(O[Si](C)(C)CC)O1;;;74.0;;;;;;;;;;;;;;;;;;
392;CCCC[Si](C)(C)OB1OB(O[Si](C)(C)CCCC)OB(O[Si](C)(C)CCCC)O1;;;71.0;;;;;;;;;;;;;;;;;;
393;CC(C)C(C)(C)[Si](C)(C)OB1OB(O[Si](C)(C)C(C)(C)C(C)C)OB(O[Si](C)(C)C(C)(C)C(C)C)O1;;;59.0;;;;;;;;;;;;;;;;;;
394;C[Si](C)(OB1OB(O[Si](C)(C)c2ccccc2)OB(O[Si](C)(C)c2ccccc2)O1)c1ccccc1;;;81.0;;;;;;;;;;;;;;;;;;
395;CC[Si](CC)(CC)OB1OB(O[Si](CC)(CC)CC)OB(O[Si](CC)(CC)CC)O1;;;72.0;;;;;;;;;;;;;;;;;;
396;CCC[Si](CCC)(CCC)OB1OB(O[Si](CCC)(CCC)CCC)OB(O[Si](CCC)(CCC)CCC)O1;;;63.0;;;;;;;;;;;;;;;;;;
397;CCCC[Si](CCCC)(CCCC)OB1OB(O[Si](CCCC)(CCCC)CCCC)OB(O[Si](CCCC)(CCCC)CCCC)O1;;;56.0;;;;;;;;;;;;;;;;;;
398;CCCCCC[Si](CCCCCC)(CCCCCC)OB1OB(O[Si](CCCCCC)(CCCCCC)CCCCCC)OB(O[Si](CCCCCC)(CCCCCC)CCCCCC)O1;;;44.0;;;;;;;;;;;;;;;;;;
399;CCCC[Sn](CCCC)(CCCC)OB1OB(O[Sn](CCCC)(CCCC)CCCC)OB(O[Sn](CCCC)(CCCC)CCCC)O1;;;54.0;;;;;;;;;;;;;;;;;;
400;CN1B(c2ccccc2)N(C)B(c2ccccc2)N(C)B1c1ccccc1;;;21.4;;;;;;;;;;;;;;;;;;
401;CCC[Si](CCC)(CCC)OB(O[Si](CCC)(CCC)CCC)c1ccccc1;;;23.0;;;;;;;;;;;;;;;;;;
402;CCC[Si](CCC)(CCC)OB(O[Si](CCC)(CCC)CCC)c1ccccc1C;;;31.0;;;;;;;;;;;;;;;;;;
403;C[Si]1(C)OB(c2cccc(N)c2)O[Si](C)(C)O1;;;22.0;;;;;;;;;;;;;;;;;;
404;C[Si]1(C)OB(c2ccccc2)O[Si](C)(C)O1;;;28.0;;;;;;;;;;;;;;;;;;
405;C[Si]1(c2ccccc2)OB(c2ccc(Br)cc2)O[Si](C)(c2ccccc2)O1;;;27.0;;;;;;;;;;;;;;;;;;
406;C[Si]1(c2ccccc2)OB(c2cccc(N)c2)O[Si](C)(c2ccccc2)O1;;;28.0;;;;;;;;;;;;;;;;;;
407;Cc1ccccc1B1O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1;;;29.0;;;;;;;;;;;;;;;;;;
408;Cc1ccc(B2O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O2)cc1;;;30.0;;;;;;;;;;;;;;;;;;
409;CCCCB1O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1;;;30.0;;;;;;;;;;;;;;;;;;
410;c1ccc(B2O[Si](c3ccccc3)(c3ccccc3)OB(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O2)cc1;;;59.0;;;;;;;;;;;;;;;;;;
411;Brc1ccc(B2OB(c3ccc(Br)cc3)O[Si](c3ccccc3)(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O2)cc1;;;49.0;;;;;;;;;;;;;;;;;;
412;Cc1ccccc1B1OB(c2ccccc2C)O[Si](c2ccccc2)(c2ccccc2)O[Si](c2ccccc2)(c2ccccc2)O1;;;49.0;;;;;;;;;;;;;;;;;;
413;Nc1cccc(B2OB(c3cccc(N)c3)O[Si](c3ccccc3)(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O2)c1;;;50.0;;;;;;;;;;;;;;;;;;
414;CCCCB1OB(CCCC)O[Si](c2ccccc2)(c2ccccc2)O[Si](c2ccccc2)(c2ccccc2)O1;;;46.0;;;;;;;;;;;;;;;;;;
415;CCCCCCCC[Si]1(C)OB(c2ccccc2)O[Si](C)(CCCCCCCC)OB(c2ccccc2)O1;;;47.0;;;;;;;;;;;;;;;;;;
416;CCCCCCCC[Si]1(C)OB(c2ccc(Br)cc2)O[Si](C)(CCCCCCCC)OB(c2ccc(Br)cc2)O1;;;52.0;;;;;;;;;;;;;;;;;;
417;CCCC[Sn](CCCC)(CCCC)OB(O[Sn](CCCC)(CCCC)CCCC)c1ccccc1;;;30.0;;;;;;;;;;;;;;;;;;
418;CCCC[Sn](CCCC)(CCCC)OB(O[Sn](CCCC)(CCCC)CCCC)c1ccc(Br)cc1;;;30.0;;;;;;;;;;;;;;;;;;
419;CN(C)B(N(C)C)N(C)C;;;9.0;;;;;;;;;;;;;;;;;;
420;Fc1cc(B(c2cc(F)c(F)c(F)c2F)c2cc(F)c(F)c(F)c2F)c(F)c(F)c1F;;;78.9;;;;;;;;;;;;;;;;;;
421;Fc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2B(c2c(F)c(F)c(F)c(F)c2-c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;;;87.9;;;;;;;;;;;;;;;;;;
422;Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(F)c1F;;;75.3;;;;;;;;;;;;;;;;;;
423;Fc1c(F)c(F)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(F)c1F;;;72.3;;;;;;;;;;;;;;;;;;
424;CC(C)(C)P(c1c(F)c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c1F)C(C)(C)C;;;73.1;;;;;;;;;;;;;;;;;;
425;Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c2F)c(C)c1;;;77.0;;;;;;;;;;;;;;;;;;
426;FC(F)(F)c1cc(C(F)(F)F)c(Bc2c(C(F)(F)F)cc(C(F)(F)F)cc2C(F)(F)F)c(C(F)(F)F)c1;;;83.3;;;;;;;;;;;;;;;;;;
427;c1ccc(OB(Oc2ccccc2)Oc2ccccc2)cc1;;;62.8;;;;;;;;;;;;;;;;;;
428;Fc1c(F)c(F)c(OB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;;;86.2;;;;;;;;;;;;;;;;;;
429;Fc1c(F)c(F)c(OB(Oc2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;;;87.3;;;;;;;;;;;;;;;;;;
430;O=S(=O)(OB(F)F)C(F)(F)F;;;96.4;;;;;;;;;;;;;;;;;;
431;CCB(CC)CC;;;24.1;;;;;;;;;;;;;;;;;;
432;OB(O)c1ccccc1;;;49.1;;;;;;;;;;;;;;;;;;
433;c1ccc(B2Oc3ccccc3O2)cc1;;;65.4;;;;;;;;;;;;;;;;;;
434;Fc1ccccc1B1Oc2ccccc2O1;;;73.6;;;;;;;;;;;;;;;;;;
435;Fc1cccc(B2Oc3ccccc3O2)c1;;;69.6;;;;;;;;;;;;;;;;;;
436;Fc1ccc(B2Oc3ccccc3O2)cc1;;;69.0;;;;;;;;;;;;;;;;;;
437;Fc1ccc(B2Oc3ccccc3O2)c(F)c1;;;73.5;;;;;;;;;;;;;;;;;;
438;Fc1cccc(F)c1B1Oc2ccccc2O1;;;73.4;;;;;;;;;;;;;;;;;;
439;Fc1cc(B2Oc3ccccc3O2)cc(F)c1F;;;73.9;;;;;;;;;;;;;;;;;;
440;Fc1cc(F)c(B2Oc3ccccc3O2)c(F)c1;;;70.1;;;;;;;;;;;;;;;;;;
441;Fc1c(F)c(F)c(B2Oc3ccccc3O2)c(F)c1F;;;81.5;;;;;;;;;;;;;;;;;;
442;Fc1c(F)c(F)c(B2OCCO2)c(F)c1F;;;23.3;;;;;;;;;;;;;;;;;;
443;Fc1c(F)c(F)c(B2OC(c3ccccc3)C(c3ccccc3)O2)c(F)c1F;;;29.2;;;;;;;;;;;;;;;;;;
444;CC1(C)COB(c2c(F)c(F)c(F)c(F)c2F)OCC1(C)C;;;13.7;;;;;;;;;;;;;;;;;;
445;Fc1c(F)c(F)c(B2OCc3ccccc3CO2)c(F)c1F;;;30.6;;;;;;;;;;;;;;;;;;
446;CC1(C)OB(c2ccc(F)cc2)OC1(C)C;;;14.0;;;;;;;;;;;;;;;;;;
447;II;;;;;;1.0;1.0;;;;;;;;;;;;;;
448;ClI;;;;;;5.1;830.0;;;;;;;;;;;;;;
